विषय,विवरण,अधिक जानकारी,संसाधन
यूपीआई क्या है? (मॉड्यूल 6),दैनिक डिजिटल लेन-देन के लिए यूनिफाइड पेमेंट्स इंटरफेस का परिचय।,"यूपीआई (यूनिफाइड पेमेंट्स इंटरफेस) स्मार्टफोन का उपयोग करके बिना बार-बार बैंक विवरण डाले तुरंत 24x7 पैसे ट्रांसफर करने की सुविधा देता है। यह सुरक्षित, तेज़ और निःशुल्क लेन-देन की अनुमति देता है जिससे दुकानों, बिलों और दोस्तों को सीधे बैंक खाते से भुगतान किया जा सकता है।",https://www.npci.org.in/what-we-do/upi/product-overview
यूपीआई का सुरक्षित उपयोग (मॉड्यूल 6),धोखाधड़ी से बचते हुए यूपीआई का सुरक्षित उपयोग कैसे करें।,"हमेशा अपने यूपीआई पिन को गोपनीय रखें, केवल आधिकारिक ऐप्स का उपयोग करें, पैसे भेजने से पहले प्राप्तकर्ता का विवरण जांचें, अज्ञात व्यक्तियों से प्राप्त भुगतान अनुरोध कभी स्वीकार न करें और संदिग्ध गतिविधि तुरंत अपने बैंक को रिपोर्ट करें।",https://www.bhimupi.org.in/upisafety
नेट बैंकिंग की मूल बातें (मॉड्यूल 6),दैनिक लेन-देन के लिए नेट बैंकिंग का उपयोग कैसे करें।,"नेट बैंकिंग आपके बैंक की आधिकारिक वेबसाइट का उपयोग करके बैलेंस जांचने, फंड ट्रांसफर करने और बिल का भुगतान करने की सुविधा देती है। मजबूत पासवर्ड का उपयोग करें, उन्हें नियमित रूप से बदलें और अपने खातों को सुरक्षित रखने के लिए सार्वजनिक वाई-फाई पर कभी भी लॉगिन न करें।",https://www.sbi.co.in/web/personal-banking/online-banking
आपातकालीन फंड बनाना (मॉड्यूल 6),वित्तीय सुरक्षा कुशन क्यों और कैसे बनाएं।,"आपातकालीन फंड अप्रत्याशित खर्चों जैसे चिकित्सा आपातकाल या नौकरी जाने पर मदद करता है। एक अलग खाते में 3-6 महीने का खर्च जमा करें, छोटे-छोटे धन से शुरुआत करें और नियमित रूप से बचत कर इसे बढ़ाएं ताकि वित्तीय स्थिरता बनी रहे।",https://www.investopedia.com/emergency-fund-4689748
खर्च ट्रैकिंग ऐप्स का उपयोग (मॉड्यूल 6),निःशुल्क ऐप्स से दैनिक खर्च की निगरानी।,खर्च ट्रैकिंग ऐप्स आपके खर्च को श्रेणियों में विभाजित कर दिखाते हैं और बजट को व्यवस्थित रूप से प्रबंधित करने में मदद करते हैं। वॉलनट और गुडबजट जैसे ऐप महिलाओं को दैनिक घरेलू खर्च व्यवस्थित रूप से ट्रैक करने में मदद करते हैं।,https://www.moneycontrol.com/
फिशिंग घोटालों से बचना (मॉड्यूल 6),ऑनलाइन धोखाधड़ी और घोटालों को पहचानना और उनसे बचना।,"फिशिंग घोटाले नकली संदेशों या ईमेल के माध्यम से उपयोगकर्ताओं से पासवर्ड या ओटीपी जैसी संवेदनशील जानकारी प्राप्त करने का प्रयास करते हैं। लिंक की जांच करें, अज्ञात व्यक्तियों के साथ व्यक्तिगत डेटा साझा न करें और संदिग्ध संदेशों की तुरंत रिपोर्ट करें।",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
बजट बनाने की मूल बातें (मॉड्यूल 6),वित्तीय स्वास्थ्य के लिए आय और खर्च की योजना बनाना।,"बजट बनाना आवश्यकताओं को प्राथमिकता देने, अनावश्यक खर्च को नियंत्रित करने और भविष्य के लक्ष्यों के लिए व्यवस्थित रूप से बचत करने में मदद करता है। एक नोटबुक या ऐप का उपयोग करके आय और खर्च को ट्रैक करें और बचत अनुशासन बनाए रखने के लिए खर्च को समायोजित करें।",https://www.investopedia.com/budgeting-4689743
क्रेडिट स्कोर समझना (मॉड्यूल 6),क्रेडिट स्कोर की मूल बातें और यह ऋणों के लिए क्यों महत्वपूर्ण है।,"क्रेडिट स्कोर यह निर्धारित करता है कि आप ऋण लेने के योग्य हैं या नहीं और ब्याज दर क्या होगी। ईएमआई समय पर चुकाएं, उच्च क्रेडिट उपयोग से बचें और अच्छे स्कोर को बनाए रखने के लिए अपने क्रेडिट रिपोर्ट को नियमित रूप से जांचें।",https://www.cibil.com/
महिलाओं के लिए बीमा की मूल बातें (मॉड्यूल 6),वित्तीय सुरक्षा के लिए स्वास्थ्य और जीवन बीमा को समझना।,"बीमा आपातकालीन परिस्थितियों में आपके परिवार की वित्तीय सुरक्षा करता है। महिलाओं को अपने और अपने आश्रितों की सुरक्षा के लिए स्वास्थ्य और जीवन बीमा पर विचार करना चाहिए। पॉलिसियों को प्रीमियम लागत, लाभ और दावा प्रक्रिया की तुलना करने के बाद ही चुनें।",https://www.policybazaar.com/
मोबाइल वॉलेट का सुरक्षित उपयोग (मॉड्यूल 6),"पेमेंट्स के लिए पेटीएम, गूगल पे आदि का सुरक्षित उपयोग।","केवल आधिकारिक ऐप स्टोर्स से वॉलेट डाउनलोड करें, ऐप लॉक सेट करें, वॉलेट बैलेंस सीमित रखें और धोखाधड़ी का पता लगाने के लिए नियमित रूप से ट्रांजेक्शन नोटिफिकेशन जांचें। हमेशा छोटे ट्रांजेक्शनों के लिए वॉलेट का उपयोग करें और संवेदनशील डेटा को सुरक्षित रखें।",https://www.npci.org.in/
यूपीआई क्या है? (मॉड्यूल 7),दैनिक डिजिटल लेन-देन के लिए यूनिफाइड पेमेंट्स इंटरफेस का परिचय।,"यूपीआई (यूनिफाइड पेमेंट्स इंटरफेस) स्मार्टफोन का उपयोग करके बिना बार-बार बैंक विवरण डाले तुरंत 24x7 पैसे ट्रांसफर करने की सुविधा देता है। यह सुरक्षित, तेज़ और निःशुल्क लेन-देन की अनुमति देता है जिससे दुकानों, बिलों और दोस्तों को सीधे बैंक खाते से भुगतान किया जा सकता है।",https://www.npci.org.in/what-we-do/upi/product-overview
यूपीआई का सुरक्षित उपयोग (मॉड्यूल 7),धोखाधड़ी से बचते हुए यूपीआई का सुरक्षित उपयोग कैसे करें।,"हमेशा अपने यूपीआई पिन को गोपनीय रखें, केवल आधिकारिक ऐप्स का उपयोग करें, पैसे भेजने से पहले प्राप्तकर्ता का विवरण जांचें, अज्ञात व्यक्तियों से प्राप्त भुगतान अनुरोध कभी स्वीकार न करें और संदिग्ध गतिविधि तुरंत अपने बैंक को रिपोर्ट करें।",https://www.bhimupi.org.in/upisafety
नेट बैंकिंग की मूल बातें (मॉड्यूल 7),दैनिक लेन-देन के लिए नेट बैंकिंग का उपयोग कैसे करें।,"नेट बैंकिंग आपके बैंक की आधिकारिक वेबसाइट का उपयोग करके बैलेंस जांचने, फंड ट्रांसफर करने और बिल का भुगतान करने की सुविधा देती है। मजबूत पासवर्ड का उपयोग करें, उन्हें नियमित रूप से बदलें और अपने खातों को सुरक्षित रखने के लिए सार्वजनिक वाई-फाई पर कभी भी लॉगिन न करें।",https://www.sbi.co.in/web/personal-banking/online-banking
आपातकालीन फंड बनाना (मॉड्यूल 7),वित्तीय सुरक्षा कुशन क्यों और कैसे बनाएं।,"आपातकालीन फंड अप्रत्याशित खर्चों जैसे चिकित्सा आपातकाल या नौकरी जाने पर मदद करता है। एक अलग खाते में 3-6 महीने का खर्च जमा करें, छोटे-छोटे धन से शुरुआत करें और नियमित रूप से बचत कर इसे बढ़ाएं ताकि वित्तीय स्थिरता बनी रहे।",https://www.investopedia.com/emergency-fund-4689748
खर्च ट्रैकिंग ऐप्स का उपयोग (मॉड्यूल 7),निःशुल्क ऐप्स से दैनिक खर्च की निगरानी।,खर्च ट्रैकिंग ऐप्स आपके खर्च को श्रेणियों में विभाजित कर दिखाते हैं और बजट को व्यवस्थित रूप से प्रबंधित करने में मदद करते हैं। वॉलनट और गुडबजट जैसे ऐप महिलाओं को दैनिक घरेलू खर्च व्यवस्थित रूप से ट्रैक करने में मदद करते हैं।,https://www.moneycontrol.com/
फिशिंग घोटालों से बचना (मॉड्यूल 7),ऑनलाइन धोखाधड़ी और घोटालों को पहचानना और उनसे बचना।,"फिशिंग घोटाले नकली संदेशों या ईमेल के माध्यम से उपयोगकर्ताओं से पासवर्ड या ओटीपी जैसी संवेदनशील जानकारी प्राप्त करने का प्रयास करते हैं। लिंक की जांच करें, अज्ञात व्यक्तियों के साथ व्यक्तिगत डेटा साझा न करें और संदिग्ध संदेशों की तुरंत रिपोर्ट करें।",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
बजट बनाने की मूल बातें (मॉड्यूल 7),वित्तीय स्वास्थ्य के लिए आय और खर्च की योजना बनाना।,"बजट बनाना आवश्यकताओं को प्राथमिकता देने, अनावश्यक खर्च को नियंत्रित करने और भविष्य के लक्ष्यों के लिए व्यवस्थित रूप से बचत करने में मदद करता है। एक नोटबुक या ऐप का उपयोग करके आय और खर्च को ट्रैक करें और बचत अनुशासन बनाए रखने के लिए खर्च को समायोजित करें।",https://www.investopedia.com/budgeting-4689743
क्रेडिट स्कोर समझना (मॉड्यूल 7),क्रेडिट स्कोर की मूल बातें और यह ऋणों के लिए क्यों महत्वपूर्ण है।,"क्रेडिट स्कोर यह निर्धारित करता है कि आप ऋण लेने के योग्य हैं या नहीं और ब्याज दर क्या होगी। ईएमआई समय पर चुकाएं, उच्च क्रेडिट उपयोग से बचें और अच्छे स्कोर को बनाए रखने के लिए अपने क्रेडिट रिपोर्ट को नियमित रूप से जांचें।",https://www.cibil.com/
महिलाओं के लिए बीमा की मूल बातें (मॉड्यूल 7),वित्तीय सुरक्षा के लिए स्वास्थ्य और जीवन बीमा को समझना।,"बीमा आपातकालीन परिस्थितियों में आपके परिवार की वित्तीय सुरक्षा करता है। महिलाओं को अपने और अपने आश्रितों की सुरक्षा के लिए स्वास्थ्य और जीवन बीमा पर विचार करना चाहिए। पॉलिसियों को प्रीमियम लागत, लाभ और दावा प्रक्रिया की तुलना करने के बाद ही चुनें।",https://www.policybazaar.com/
मोबाइल वॉलेट का सुरक्षित उपयोग (मॉड्यूल 7),"पेमेंट्स के लिए पेटीएम, गूगल पे आदि का सुरक्षित उपयोग।","केवल आधिकारिक ऐप स्टोर्स से वॉलेट डाउनलोड करें, ऐप लॉक सेट करें, वॉलेट बैलेंस सीमित रखें और धोखाधड़ी का पता लगाने के लिए नियमित रूप से ट्रांजेक्शन नोटिफिकेशन जांचें। हमेशा छोटे ट्रांजेक्शनों के लिए वॉलेट का उपयोग करें और संवेदनशील डेटा को सुरक्षित रखें।",https://www.npci.org.in/
यूपीआई क्या है? (मॉड्यूल 8),दैनिक डिजिटल लेन-देन के लिए यूनिफाइड पेमेंट्स इंटरफेस का परिचय।,"यूपीआई (यूनिफाइड पेमेंट्स इंटरफेस) स्मार्टफोन का उपयोग करके बिना बार-बार बैंक विवरण डाले तुरंत 24x7 पैसे ट्रांसफर करने की सुविधा देता है। यह सुरक्षित, तेज़ और निःशुल्क लेन-देन की अनुमति देता है जिससे दुकानों, बिलों और दोस्तों को सीधे बैंक खाते से भुगतान किया जा सकता है।",https://www.npci.org.in/what-we-do/upi/product-overview
यूपीआई का सुरक्षित उपयोग (मॉड्यूल 8),धोखाधड़ी से बचते हुए यूपीआई का सुरक्षित उपयोग कैसे करें।,"हमेशा अपने यूपीआई पिन को गोपनीय रखें, केवल आधिकारिक ऐप्स का उपयोग करें, पैसे भेजने से पहले प्राप्तकर्ता का विवरण जांचें, अज्ञात व्यक्तियों से प्राप्त भुगतान अनुरोध कभी स्वीकार न करें और संदिग्ध गतिविधि तुरंत अपने बैंक को रिपोर्ट करें।",https://www.bhimupi.org.in/upisafety
नेट बैंकिंग की मूल बातें (मॉड्यूल 8),दैनिक लेन-देन के लिए नेट बैंकिंग का उपयोग कैसे करें।,"नेट बैंकिंग आपके बैंक की आधिकारिक वेबसाइट का उपयोग करके बैलेंस जांचने, फंड ट्रांसफर करने और बिल का भुगतान करने की सुविधा देती है। मजबूत पासवर्ड का उपयोग करें, उन्हें नियमित रूप से बदलें और अपने खातों को सुरक्षित रखने के लिए सार्वजनिक वाई-फाई पर कभी भी लॉगिन न करें।",https://www.sbi.co.in/web/personal-banking/online-banking
आपातकालीन फंड बनाना (मॉड्यूल 8),वित्तीय सुरक्षा कुशन क्यों और कैसे बनाएं।,"आपातकालीन फंड अप्रत्याशित खर्चों जैसे चिकित्सा आपातकाल या नौकरी जाने पर मदद करता है। एक अलग खाते में 3-6 महीने का खर्च जमा करें, छोटे-छोटे धन से शुरुआत करें और नियमित रूप से बचत कर इसे बढ़ाएं ताकि वित्तीय स्थिरता बनी रहे।",https://www.investopedia.com/emergency-fund-4689748
खर्च ट्रैकिंग ऐप्स का उपयोग (मॉड्यूल 8),निःशुल्क ऐप्स से दैनिक खर्च की निगरानी।,खर्च ट्रैकिंग ऐप्स आपके खर्च को श्रेणियों में विभाजित कर दिखाते हैं और बजट को व्यवस्थित रूप से प्रबंधित करने में मदद करते हैं। वॉलनट और गुडबजट जैसे ऐप महिलाओं को दैनिक घरेलू खर्च व्यवस्थित रूप से ट्रैक करने में मदद करते हैं।,https://www.moneycontrol.com/
फिशिंग घोटालों से बचना (मॉड्यूल 8),ऑनलाइन धोखाधड़ी और घोटालों को पहचानना और उनसे बचना।,"फिशिंग घोटाले नकली संदेशों या ईमेल के माध्यम से उपयोगकर्ताओं से पासवर्ड या ओटीपी जैसी संवेदनशील जानकारी प्राप्त करने का प्रयास करते हैं। लिंक की जांच करें, अज्ञात व्यक्तियों के साथ व्यक्तिगत डेटा साझा न करें और संदिग्ध संदेशों की तुरंत रिपोर्ट करें।",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
बजट बनाने की मूल बातें (मॉड्यूल 8),वित्तीय स्वास्थ्य के लिए आय और खर्च की योजना बनाना।,"बजट बनाना आवश्यकताओं को प्राथमिकता देने, अनावश्यक खर्च को नियंत्रित करने और भविष्य के लक्ष्यों के लिए व्यवस्थित रूप से बचत करने में मदद करता है। एक नोटबुक या ऐप का उपयोग करके आय और खर्च को ट्रैक करें और बचत अनुशासन बनाए रखने के लिए खर्च को समायोजित करें।",https://www.investopedia.com/budgeting-4689743
क्रेडिट स्कोर समझना (मॉड्यूल 8),क्रेडिट स्कोर की मूल बातें और यह ऋणों के लिए क्यों महत्वपूर्ण है।,"क्रेडिट स्कोर यह निर्धारित करता है कि आप ऋण लेने के योग्य हैं या नहीं और ब्याज दर क्या होगी। ईएमआई समय पर चुकाएं, उच्च क्रेडिट उपयोग से बचें और अच्छे स्कोर को बनाए रखने के लिए अपने क्रेडिट रिपोर्ट को नियमित रूप से जांचें।",https://www.cibil.com/
महिलाओं के लिए बीमा की मूल बातें (मॉड्यूल 8),वित्तीय सुरक्षा के लिए स्वास्थ्य और जीवन बीमा को समझना।,"बीमा आपातकालीन परिस्थितियों में आपके परिवार की वित्तीय सुरक्षा करता है। महिलाओं को अपने और अपने आश्रितों की सुरक्षा के लिए स्वास्थ्य और जीवन बीमा पर विचार करना चाहिए। पॉलिसियों को प्रीमियम लागत, लाभ और दावा प्रक्रिया की तुलना करने के बाद ही चुनें।",https://www.policybazaar.com/
मोबाइल वॉलेट का सुरक्षित उपयोग (मॉड्यूल 8),"पेमेंट्स के लिए पेटीएम, गूगल पे आदि का सुरक्षित उपयोग।","केवल आधिकारिक ऐप स्टोर्स से वॉलेट डाउनलोड करें, ऐप लॉक सेट करें, वॉलेट बैलेंस सीमित रखें और धोखाधड़ी का पता लगाने के लिए नियमित रूप से ट्रांजेक्शन नोटिफिकेशन जांचें। हमेशा छोटे ट्रांजेक्शनों के लिए वॉलेट का उपयोग करें और संवेदनशील डेटा को सुरक्षित रखें।",https://www.npci.org.in/
यूपीआई क्या है? (मॉड्यूल 9),दैनिक डिजिटल लेन-देन के लिए यूनिफाइड पेमेंट्स इंटरफेस का परिचय।,"यूपीआई (यूनिफाइड पेमेंट्स इंटरफेस) स्मार्टफोन का उपयोग करके बिना बार-बार बैंक विवरण डाले तुरंत 24x7 पैसे ट्रांसफर करने की सुविधा देता है। यह सुरक्षित, तेज़ और निःशुल्क लेन-देन की अनुमति देता है जिससे दुकानों, बिलों और दोस्तों को सीधे बैंक खाते से भुगतान किया जा सकता है।",https://www.npci.org.in/what-we-do/upi/product-overview
यूपीआई का सुरक्षित उपयोग (मॉड्यूल 9),धोखाधड़ी से बचते हुए यूपीआई का सुरक्षित उपयोग कैसे करें।,"हमेशा अपने यूपीआई पिन को गोपनीय रखें, केवल आधिकारिक ऐप्स का उपयोग करें, पैसे भेजने से पहले प्राप्तकर्ता का विवरण जांचें, अज्ञात व्यक्तियों से प्राप्त भुगतान अनुरोध कभी स्वीकार न करें और संदिग्ध गतिविधि तुरंत अपने बैंक को रिपोर्ट करें।",https://www.bhimupi.org.in/upisafety
नेट बैंकिंग की मूल बातें (मॉड्यूल 9),दैनिक लेन-देन के लिए नेट बैंकिंग का उपयोग कैसे करें।,"नेट बैंकिंग आपके बैंक की आधिकारिक वेबसाइट का उपयोग करके बैलेंस जांचने, फंड ट्रांसफर करने और बिल का भुगतान करने की सुविधा देती है। मजबूत पासवर्ड का उपयोग करें, उन्हें नियमित रूप से बदलें और अपने खातों को सुरक्षित रखने के लिए सार्वजनिक वाई-फाई पर कभी भी लॉगिन न करें।",https://www.sbi.co.in/web/personal-banking/online-banking
आपातकालीन फंड बनाना (मॉड्यूल 9),वित्तीय सुरक्षा कुशन क्यों और कैसे बनाएं।,"आपातकालीन फंड अप्रत्याशित खर्चों जैसे चिकित्सा आपातकाल या नौकरी जाने पर मदद करता है। एक अलग खाते में 3-6 महीने का खर्च जमा करें, छोटे-छोटे धन से शुरुआत करें और नियमित रूप से बचत कर इसे बढ़ाएं ताकि वित्तीय स्थिरता बनी रहे।",https://www.investopedia.com/emergency-fund-4689748
खर्च ट्रैकिंग ऐप्स का उपयोग (मॉड्यूल 9),निःशुल्क ऐप्स से दैनिक खर्च की निगरानी।,खर्च ट्रैकिंग ऐप्स आपके खर्च को श्रेणियों में विभाजित कर दिखाते हैं और बजट को व्यवस्थित रूप से प्रबंधित करने में मदद करते हैं। वॉलनट और गुडबजट जैसे ऐप महिलाओं को दैनिक घरेलू खर्च व्यवस्थित रूप से ट्रैक करने में मदद करते हैं।,https://www.moneycontrol.com/
फिशिंग घोटालों से बचना (मॉड्यूल 9),ऑनलाइन धोखाधड़ी और घोटालों को पहचानना और उनसे बचना।,"फिशिंग घोटाले नकली संदेशों या ईमेल के माध्यम से उपयोगकर्ताओं से पासवर्ड या ओटीपी जैसी संवेदनशील जानकारी प्राप्त करने का प्रयास करते हैं। लिंक की जांच करें, अज्ञात व्यक्तियों के साथ व्यक्तिगत डेटा साझा न करें और संदिग्ध संदेशों की तुरंत रिपोर्ट करें।",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
बजट बनाने की मूल बातें (मॉड्यूल 9),वित्तीय स्वास्थ्य के लिए आय और खर्च की योजना बनाना।,"बजट बनाना आवश्यकताओं को प्राथमिकता देने, अनावश्यक खर्च को नियंत्रित करने और भविष्य के लक्ष्यों के लिए व्यवस्थित रूप से बचत करने में मदद करता है। एक नोटबुक या ऐप का उपयोग करके आय और खर्च को ट्रैक करें और बचत अनुशासन बनाए रखने के लिए खर्च को समायोजित करें।",https://www.investopedia.com/budgeting-4689743
क्रेडिट स्कोर समझना (मॉड्यूल 9),क्रेडिट स्कोर की मूल बातें और यह ऋणों के लिए क्यों महत्वपूर्ण है।,"क्रेडिट स्कोर यह निर्धारित करता है कि आप ऋण लेने के योग्य हैं या नहीं और ब्याज दर क्या होगी। ईएमआई समय पर चुकाएं, उच्च क्रेडिट उपयोग से बचें और अच्छे स्कोर को बनाए रखने के लिए अपने क्रेडिट रिपोर्ट को नियमित रूप से जांचें।",https://www.cibil.com/
महिलाओं के लिए बीमा की मूल बातें (मॉड्यूल 9),वित्तीय सुरक्षा के लिए स्वास्थ्य और जीवन बीमा को समझना।,"बीमा आपातकालीन परिस्थितियों में आपके परिवार की वित्तीय सुरक्षा करता है। महिलाओं को अपने और अपने आश्रितों की सुरक्षा के लिए स्वास्थ्य और जीवन बीमा पर विचार करना चाहिए। पॉलिसियों को प्रीमियम लागत, लाभ और दावा प्रक्रिया की तुलना करने के बाद ही चुनें।",https://www.policybazaar.com/
मोबाइल वॉलेट का सुरक्षित उपयोग (मॉड्यूल 9),"पेमेंट्स के लिए पेटीएम, गूगल पे आदि का सुरक्षित उपयोग।","केवल आधिकारिक ऐप स्टोर्स से वॉलेट डाउनलोड करें, ऐप लॉक सेट करें, वॉलेट बैलेंस सीमित रखें और धोखाधड़ी का पता लगाने के लिए नियमित रूप से ट्रांजेक्शन नोटिफिकेशन जांचें। हमेशा छोटे ट्रांजेक्शनों के लिए वॉलेट का उपयोग करें और संवेदनशील डेटा को सुरक्षित रखें।",https://www.npci.org.in/
यूपीआई क्या है? (मॉड्यूल 10),दैनिक डिजिटल लेन-देन के लिए यूनिफाइड पेमेंट्स इंटरफेस का परिचय।,"यूपीआई (यूनिफाइड पेमेंट्स इंटरफेस) स्मार्टफोन का उपयोग करके बिना बार-बार बैंक विवरण डाले तुरंत 24x7 पैसे ट्रांसफर करने की सुविधा देता है। यह सुरक्षित, तेज़ और निःशुल्क लेन-देन की अनुमति देता है जिससे दुकानों, बिलों और दोस्तों को सीधे बैंक खाते से भुगतान किया जा सकता है।",https://www.npci.org.in/what-we-do/upi/product-overview
यूपीआई का सुरक्षित उपयोग (मॉड्यूल 10),धोखाधड़ी से बचते हुए यूपीआई का सुरक्षित उपयोग कैसे करें।,"हमेशा अपने यूपीआई पिन को गोपनीय रखें, केवल आधिकारिक ऐप्स का उपयोग करें, पैसे भेजने से पहले प्राप्तकर्ता का विवरण जांचें, अज्ञात व्यक्तियों से प्राप्त भुगतान अनुरोध कभी स्वीकार न करें और संदिग्ध गतिविधि तुरंत अपने बैंक को रिपोर्ट करें।",https://www.bhimupi.org.in/upisafety
नेट बैंकिंग की मूल बातें (मॉड्यूल 10),दैनिक लेन-देन के लिए नेट बैंकिंग का उपयोग कैसे करें।,"नेट बैंकिंग आपके बैंक की आधिकारिक वेबसाइट का उपयोग करके बैलेंस जांचने, फंड ट्रांसफर करने और बिल का भुगतान करने की सुविधा देती है। मजबूत पासवर्ड का उपयोग करें, उन्हें नियमित रूप से बदलें और अपने खातों को सुरक्षित रखने के लिए सार्वजनिक वाई-फाई पर कभी भी लॉगिन न करें।",https://www.sbi.co.in/web/personal-banking/online-banking
आपातकालीन फंड बनाना (मॉड्यूल 10),वित्तीय सुरक्षा कुशन क्यों और कैसे बनाएं।,"आपातकालीन फंड अप्रत्याशित खर्चों जैसे चिकित्सा आपातकाल या नौकरी जाने पर मदद करता है। एक अलग खाते में 3-6 महीने का खर्च जमा करें, छोटे-छोटे धन से शुरुआत करें और नियमित रूप से बचत कर इसे बढ़ाएं ताकि वित्तीय स्थिरता बनी रहे।",https://www.investopedia.com/emergency-fund-4689748
खर्च ट्रैकिंग ऐप्स का उपयोग (मॉड्यूल 10),निःशुल्क ऐप्स से दैनिक खर्च की निगरानी।,खर्च ट्रैकिंग ऐप्स आपके खर्च को श्रेणियों में विभाजित कर दिखाते हैं और बजट को व्यवस्थित रूप से प्रबंधित करने में मदद करते हैं। वॉलनट और गुडबजट जैसे ऐप महिलाओं को दैनिक घरेलू खर्च व्यवस्थित रूप से ट्रैक करने में मदद करते हैं।,https://www.moneycontrol.com/
फिशिंग घोटालों से बचना (मॉड्यूल 10),ऑनलाइन धोखाधड़ी और घोटालों को पहचानना और उनसे बचना।,"फिशिंग घोटाले नकली संदेशों या ईमेल के माध्यम से उपयोगकर्ताओं से पासवर्ड या ओटीपी जैसी संवेदनशील जानकारी प्राप्त करने का प्रयास करते हैं। लिंक की जांच करें, अज्ञात व्यक्तियों के साथ व्यक्तिगत डेटा साझा न करें और संदिग्ध संदेशों की तुरंत रिपोर्ट करें।",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
बजट बनाने की मूल बातें (मॉड्यूल 10),वित्तीय स्वास्थ्य के लिए आय और खर्च की योजना बनाना।,"बजट बनाना आवश्यकताओं को प्राथमिकता देने, अनावश्यक खर्च को नियंत्रित करने और भविष्य के लक्ष्यों के लिए व्यवस्थित रूप से बचत करने में मदद करता है। एक नोटबुक या ऐप का उपयोग करके आय और खर्च को ट्रैक करें और बचत अनुशासन बनाए रखने के लिए खर्च को समायोजित करें।",https://www.investopedia.com/budgeting-4689743
क्रेडिट स्कोर समझना (मॉड्यूल 10),क्रेडिट स्कोर की मूल बातें और यह ऋणों के लिए क्यों महत्वपूर्ण है।,"क्रेडिट स्कोर यह निर्धारित करता है कि आप ऋण लेने के योग्य हैं या नहीं और ब्याज दर क्या होगी। ईएमआई समय पर चुकाएं, उच्च क्रेडिट उपयोग से बचें और अच्छे स्कोर को बनाए रखने के लिए अपने क्रेडिट रिपोर्ट को नियमित रूप से जांचें।",https://www.cibil.com/
महिलाओं के लिए बीमा की मूल बातें (मॉड्यूल 10),वित्तीय सुरक्षा के लिए स्वास्थ्य और जीवन बीमा को समझना।,"बीमा आपातकालीन परिस्थितियों में आपके परिवार की वित्तीय सुरक्षा करता है। महिलाओं को अपने और अपने आश्रितों की सुरक्षा के लिए स्वास्थ्य और जीवन बीमा पर विचार करना चाहिए। पॉलिसियों को प्रीमियम लागत, लाभ और दावा प्रक्रिया की तुलना करने के बाद ही चुनें।",https://www.policybazaar.com/
मोबाइल वॉलेट का सुरक्षित उपयोग (मॉड्यूल 10),"पेमेंट्स के लिए पेटीएम, गूगल पे आदि का सुरक्षित उपयोग।","केवल आधिकारिक ऐप स्टोर्स से वॉलेट डाउनलोड करें, ऐप लॉक सेट करें, वॉलेट बैलेंस सीमित रखें और धोखाधड़ी का पता लगाने के लिए नियमित रूप से ट्रांजेक्शन नोटिफिकेशन जांचें। हमेशा छोटे ट्रांजेक्शनों के लिए वॉलेट का उपयोग करें और संवेदनशील डेटा को सुरक्षित रखें।",https://www.npci.org.in/
